audio,text
/content/asr_bengali/data/05/05010c9e7e.wav,গড়ে তুলে
/content/asr_bengali/data/05/0502473f56.wav,কোনো প্রকার ত্রুটিবিচ্যুতিকে
/content/asr_bengali/data/05/0502d27c14.wav,কনকচাপা
/content/asr_bengali/data/05/0502e83d30.wav,এখন ধর্মান্ধতার কোথায় পৌঁছেছে
/content/asr_bengali/data/05/05049c46da.wav,পেতে চলেছে ২৪টি আসন
/content/asr_bengali/data/05/05065f13c0.wav,এলিমিনেটর ম্যাচের
/content/asr_bengali/data/05/0506f3d1d1.wav,নিখোঁজ হয়ে যাওয়ার পর
/content/asr_bengali/data/05/0507920d96.wav,সফল একটি সমাপ্তি
/content/asr_bengali/data/05/050811a74a.wav,অনেক চাষীর
/content/asr_bengali/data/05/05083caff7.wav,তাদের জন্য
/content/asr_bengali/data/05/0508ec5006.wav,বিপদের কথা
/content/asr_bengali/data/05/0509f6be93.wav,স্পট ফিক্সিং
/content/asr_bengali/data/05/050ac1a690.wav,সেখানে দ্বিতীয় জানাজার পর
/content/asr_bengali/data/05/050d5e6791.wav,এম ইলিয়াস আলী
/content/asr_bengali/data/05/050dab9bff.wav,সাধে কি আর হিন্দুস্থানে
/content/asr_bengali/data/05/050dcdce1b.wav,ইদি আমিনের সৈন্যদের
/content/asr_bengali/data/05/050ea4328a.wav,গতকাল বুধবার মধ্যরাতে
/content/asr_bengali/data/05/051116f515.wav,ধ্বংসস্তূপ থেকে আবারও
/content/asr_bengali/data/05/051123c0fe.wav,সেই সর্বনাশা মোহনার দিকে
/content/asr_bengali/data/05/05116a2c87.wav,এই সময়টাকে
/content/asr_bengali/data/05/0511fe96d2.wav,কোরআন তেলাওয়াত করা হবে
/content/asr_bengali/data/05/05120cebc3.wav,শিল্পোদ্যোক্তাদের মাথায় হাত
/content/asr_bengali/data/05/0513d34fdf.wav,সংশোধিত আইনে রায়ের বিরুদ্ধে
/content/asr_bengali/data/05/05188d9661.wav,আন্তর্জাতিক অলিম্পিক কমিটি
/content/asr_bengali/data/05/05196bd95a.wav,তন্ত্র মন্ত্র
/content/asr_bengali/data/05/0519c1e2ac.wav,কলকাতার ওয়েস্ট বেঙ্গলের
/content/asr_bengali/data/05/051a34f4ac.wav,বিপুল লোক হতাহত হয়
/content/asr_bengali/data/05/051aef6e2a.wav,যেন লাগাতার ইলেকট্রিক শক লাগছে
/content/asr_bengali/data/05/051ba641c6.wav,হতাশার বিষয় হচ্ছে
/content/asr_bengali/data/05/051c9d135f.wav,জনি আর সাইদুলকে
/content/asr_bengali/data/05/051e3b67ef.wav,সময়ের খবর
/content/asr_bengali/data/05/051f1a3a86.wav,যা আঙ্গুলের উপরিভাগে
/content/asr_bengali/data/05/05210778c6.wav,গ্রেফতার করছে না
/content/asr_bengali/data/05/05213fce42.wav,যুদ্ধাপরাধের মামলায় গ্রেপ্তার
/content/asr_bengali/data/05/0523be7926.wav,বেশ কয়েকটি টেলিফিল্ম
/content/asr_bengali/data/05/0525cf0928.wav,হাত দিয়ে বুঝল
/content/asr_bengali/data/05/0526848360.wav,এমন সংকটে পড়েছেন
/content/asr_bengali/data/05/0526cb78d2.wav,ক্ষতিপূরণের দাবিতে ছিল
/content/asr_bengali/data/05/05281a031f.wav,যাহা ছিল তাহাই আছে
/content/asr_bengali/data/05/052a9e5d4c.wav,দাবি জানিয়েছেন বিজেপি সভাপতি
/content/asr_bengali/data/05/052b35f286.wav,এইরূপ প্রবাদ রটাইয়াছে
/content/asr_bengali/data/05/052b8930ba.wav,ও শিক্ষকরাও রয়েছেন
/content/asr_bengali/data/05/052bdcebfb.wav,দেড় মণ জিনিষ নিতে পারবো
/content/asr_bengali/data/05/052e90fb4a.wav,যা ইচ্ছে খাবে ফুঁকবে
/content/asr_bengali/data/05/052fb76409.wav,এদেরকে বলে রেডিও আইসোটোপ
/content/asr_bengali/data/05/05319108ca.wav,বাংলাদেশ তাদের সাথে
/content/asr_bengali/data/05/0531da8882.wav,পরিমাণের অতিরিক্ত কিছু
/content/asr_bengali/data/05/0531fe0a7b.wav,ও আলোচনা সভা
/content/asr_bengali/data/05/053209cac0.wav,কোরআন শরিফ পোড়ানোর প্রসঙ্গ
/content/asr_bengali/data/05/053372bcbb.wav,তাকে আদালতে
/content/asr_bengali/data/05/05341d9d4a.wav,পৃথিবীর সবচেয়ে সুন্দর
/content/asr_bengali/data/05/0534540c11.wav,ক্রিকেট ভাষ্যকার
/content/asr_bengali/data/05/05350dd63a.wav,মিরপুর১ নম্বর
/content/asr_bengali/data/05/053569765b.wav,ছাপা হতো
/content/asr_bengali/data/05/0536cb050f.wav,আলতাফ চৌধুরী
/content/asr_bengali/data/05/0537791612.wav,বক্সের বাইরে এসে
/content/asr_bengali/data/05/0537a061f4.wav,অভিনয়ের সুযোগ পেলে
/content/asr_bengali/data/05/0537cd81f4.wav,খেলার খবর
/content/asr_bengali/data/05/0538abe235.wav,বোকা
/content/asr_bengali/data/05/0538d03622.wav,উন্নত ভবিষ্যৎ
/content/asr_bengali/data/05/053930b89f.wav,সরকার ১৯৯৭এর
/content/asr_bengali/data/05/05396b6a7b.wav,শিক্ষার্থীরা পরীক্ষা দেবে
/content/asr_bengali/data/05/0539ea0a88.wav,জায়েজ করেছেন
/content/asr_bengali/data/05/053a03039f.wav,গ্রেপ্তার এড়াতে
/content/asr_bengali/data/05/053a54422d.wav,থানা পুলিশের পৃথক অভিযানে
/content/asr_bengali/data/05/053b6d3a3b.wav,কাজ হাতিয়ে নেওয়াই
